Year,Office,County,Party,Votes,Percent,GEOID20,
2022,State House Representative,ALLEGHENY,All,536458,100.00,42003,
2022,State House Representative,ARMSTRONG,All,27079,100.00,42005,
2022,State House Representative,BEAVER,All,69313,100.00,42007,
2022,State House Representative,BEDFORD,All,19979,100.00,42009,
2022,State House Representative,BERKS,All,130630,100.00,42011,
2022,State House Representative,BLAIR,All,45297,100.00,42013,
2022,State House Representative,BRADFORD,All,20751,100.00,42015,
2022,State House Representative,BUCKS,All,305918,100.00,42017,
2022,State House Representative,BUTLER,All,81149,100.00,42019,
2022,State House Representative,CAMBRIA,All,51442,100.00,42021,
2022,State House Representative,CAMERON,All,1691,100.00,42023,
2022,State House Representative,CARBON,All,25836,100.00,42025,
2022,State House Representative,CENTRE,All,61301,100.00,42027,
2022,State House Representative,CHESTER,All,256813,100.00,42029,
2022,State House Representative,CLARION,All,13363,100.00,42031,
2022,State House Representative,CLEARFIELD,All,28918,100.00,42033,
2022,State House Representative,CLINTON,All,13999,100.00,42035,
2022,State House Representative,COLUMBIA,All,24643,100.00,42037,
2022,State House Representative,CRAWFORD,All,31186,100.00,42039,
2022,State House Representative,CUMBERLAND,All,113281,100.00,42041,
2022,State House Representative,DAUPHIN,All,96483,100.00,42043,
2022,State House Representative,DELAWARE,All,246070,100.00,42045,
2022,State House Representative,ELK,All,13629,100.00,42047,
2022,State House Representative,ERIE,All,103310,100.00,42049,
2022,State House Representative,FAYETTE,All,39614,100.00,42051,
2022,State House Representative,FOREST,All,1901,100.00,42053,
2022,State House Representative,FRANKLIN,All,55307,100.00,42055,
2022,State House Representative,FULTON,All,5693,100.00,42057,
2022,State House Representative,GREENE,All,13026,100.00,42059,
2022,State House Representative,HUNTINGDON,All,18375,100.00,42061,
2022,State House Representative,INDIANA,All,31722,100.00,42063,
2022,State House Representative,JEFFERSON,All,15535,100.00,42065,
2022,State House Representative,JUNIATA,All,7622,100.00,42067,
2022,State House Representative,LACKAWANNA,All,88337,100.00,42069,
2022,State House Representative,LANCASTER,All,197101,100.00,42071,
2022,State House Representative,LAWRENCE,All,34026,100.00,42073,
2022,State House Representative,LEBANON,All,56117,100.00,42075,
2022,State House Representative,LEHIGH,All,118809,100.00,42077,
2022,State House Representative,LUZERNE,All,108857,100.00,42079,
2022,State House Representative,LYCOMING,All,38386,100.00,42081,
2022,State House Representative,McKEAN,All,12984,100.00,42083,
2022,State House Representative,MERCER,All,42154,100.00,42085,
2022,State House Representative,MIFFLIN,All,15933,100.00,42087,
2022,State House Representative,MONROE,All,58452,100.00,42089,
2022,State House Representative,MONTGOMERY,All,408826,100.00,42091,
2022,State House Representative,MONTOUR,All,6165,100.00,42093,
2022,State House Representative,NORTHAMPTON,All,111398,100.00,42095,
2022,State House Representative,NORTHUMBERLAND,All,30699,100.00,42097,
2022,State House Representative,PERRY,All,17011,100.00,42099,
2022,State House Representative,PHILADELPHIA,All,436953,100.00,42101,
2022,State House Representative,PIKE,All,23792,100.00,42103,
2022,State House Representative,POTTER,All,6414,100.00,42105,
2022,State House Representative,SCHUYLKILL,All,55260,100.00,42107,
2022,State House Representative,SNYDER,All,12513,100.00,42109,
2022,State House Representative,SOMERSET,All,28970,100.00,42111,
2022,State House Representative,SULLIVAN,All,2431,100.00,42113,
2022,State House Representative,SUSQUEHANNA,All,14611,100.00,42115,
2022,State House Representative,TIOGA,All,14611,100.00,42117,
2022,State House Representative,UNION,All,13685,100.00,42119,
2022,State House Representative,VENANGO,All,17090,100.00,42121,
2022,State House Representative,WARREN,All,12463,100.00,42123,
2022,State House Representative,WASHINGTON,All,73820,100.00,42125,
2022,State House Representative,WAYNE,All,18740,100.00,42127,
2022,State House Representative,WESTMORELAND,All,136372,100.00,42129,
2022,State House Representative,WYOMING,All,9692,100.00,42131,
2022,State House Representative,YORK,All,162587,100.00,42133,
2022,State Senator,ALLEGHENY,All,212898,100.00,42003,
2022,State Senator,BEAVER,All,2201,100.00,42007,
2022,State Senator,BEDFORD,All,21750,100.00,42009,
2022,State Senator,BERKS,All,23001,100.00,42011,
2022,State Senator,BLAIR,All,50154,100.00,42013,
2022,State Senator,BUCKS,All,312264,100.00,42017,
2022,State Senator,CHESTER,All,97524,100.00,42029,
2022,State Senator,CRAWFORD,All,32313,100.00,42039,
2022,State Senator,CUMBERLAND,All,85971,100.00,42041,
2022,State Senator,DAUPHIN,All,11078,100.00,42043,
2022,State Senator,DELAWARE,All,132311,100.00,42045,
2022,State Senator,FAYETTE,All,46374,100.00,42051,
2022,State Senator,FULTON,All,6223,100.00,42057,
2022,State Senator,GREENE,All,10559,100.00,42059,
2022,State Senator,HUNTINGDON,All,18330,100.00,42061,
2022,State Senator,JUNIATA,All,9583,100.00,42067,
2022,State Senator,LACKAWANNA,All,87874,100.00,42069,
2022,State Senator,LANCASTER,All,107182,100.00,42071,
2022,State Senator,LAWRENCE,All,29018,100.00,42073,
2022,State Senator,LEBANON,All,56048,100.00,42075,
2022,State Senator,LEHIGH,All,135352,100.00,42077,
2022,State Senator,LUZERNE,All,76744,100.00,42079,
2022,State Senator,MERCER,All,45191,100.00,42085,
2022,State Senator,MIFFLIN,All,16622,100.00,42087,
2022,State Senator,MONROE,All,58525,100.00,42089,
2022,State Senator,MONTGOMERY,All,315799,100.00,42091,
2022,State Senator,NORTHAMPTON,All,128952,100.00,42095,
2022,State Senator,PERRY,All,19787,100.00,42099,
2022,State Senator,PHILADELPHIA,All,152498,100.00,42101,
2022,State Senator,PIKE,All,25065,100.00,42103,
2022,State Senator,SOMERSET,All,32443,100.00,42111,
2022,State Senator,SUSQUEHANNA,All,17276,100.00,42115,
2022,State Senator,WASHINGTON,All,65529,100.00,42125,
2022,State Senator,WAYNE,All,22589,100.00,42127,
2022,State Senator,WESTMORELAND,All,1762,100.00,42129,
2022,State Senator,WYOMING,All,11751,100.00,42131,
2022,State Senator,YORK,All,112735,100.00,42133,
2022,US Congress,ADAMS,All,34978,100.00,42001,
2022,US Congress,ALLEGHENY,All,562827,100.00,42003,
2022,US Congress,ARMSTRONG,All,28202,100.00,42005,
2022,US Congress,BEAVER,All,73143,100.00,42007,
2022,US Congress,BEDFORD,All,19607,100.00,42009,
2022,US Congress,BERKS,All,147255,100.00,42011,
2022,US Congress,BLAIR,All,40655,100.00,42013,
2022,US Congress,BRADFORD,All,23093,100.00,42015,
2022,US Congress,BUCKS,All,311860,100.00,42017,
2022,US Congress,BUTLER,All,93201,100.00,42019,
2022,US Congress,CAMBRIA,All,44754,100.00,42021,
2022,US Congress,CAMERON,All,1880,100.00,42023,
2022,US Congress,CARBON,All,26033,100.00,42025,
2022,US Congress,CENTRE,All,61741,100.00,42027,
2022,US Congress,CHESTER,All,258267,100.00,42029,
2022,US Congress,CLARION,All,15243,100.00,42031,
2022,US Congress,CLEARFIELD,All,31354,100.00,42033,
2022,US Congress,CLINTON,All,14011,100.00,42035,
2022,US Congress,COLUMBIA,All,47072,100.00,42037,
2022,US Congress,CRAWFORD,All,10538,100.00,42039,
2022,US Congress,CUMBERLAND,All,114062,100.00,42041,
2022,US Congress,DAUPHIN,All,114059,100.00,42043,
2022,US Congress,DELAWARE,All,248968,100.00,42045,
2022,US Congress,ELK,All,13618,100.00,42047,
2022,US Congress,ERIE,All,105686,100.00,42049,
2022,US Congress,FAYETTE,All,32739,100.00,42051,
2022,US Congress,FOREST,All,2182,100.00,42053,
2022,US Congress,FRANKLIN,All,53203,100.00,42055,
2022,US Congress,FULTON,All,5619,100.00,42057,
2022,US Congress,GREENE,All,10209,100.00,42059,
2022,US Congress,HUNTINGDON,All,15287,100.00,42061,
2022,US Congress,INDIANA,All,25719,100.00,42063,
2022,US Congress,JEFFERSON,All,17674,100.00,42065,
2022,US Congress,JUNIATA,All,8269,100.00,42067,
2022,US Congress,LACKAWANNA,All,89073,100.00,42069,
2022,US Congress,LANCASTER,All,223977,100.00,42071,
2022,US Congress,LAWRENCE,All,36155,100.00,42073,
2022,US Congress,LEBANON,All,56176,100.00,42075,
2022,US Congress,LEHIGH,All,136099,100.00,42077,
2022,US Congress,LUZERNE,All,115939,100.00,42079,
2022,US Congress,LYCOMING,All,45910,100.00,42081,
2022,US Congress,McKEAN,All,14654,100.00,42083,
2022,US Congress,MERCER,All,44863,100.00,42085,
2022,US Congress,MIFFLIN,All,14004,100.00,42087,
2022,US Congress,MONROE,All,58556,100.00,42089,
2022,US Congress,MONTGOMERY,All,411573,100.00,42091,
2022,US Congress,MONTOUR,All,7826,100.00,42093,
2022,US Congress,NORTHAMPTON,All,129457,100.00,42095,
2022,US Congress,NORTHUMBERLAND,All,32677,100.00,42097,
2022,US Congress,PERRY,All,16534,100.00,42099,
2022,US Congress,PHILADELPHIA,All,470946,100.00,42101,
2022,US Congress,PIKE,All,24874,100.00,42103,
2022,US Congress,POTTER,All,7048,100.00,42105,
2022,US Congress,SCHUYLKILL,All,55288,100.00,42107,
2022,US Congress,SNYDER,All,15196,100.00,42109,
2022,US Congress,SOMERSET,All,27815,100.00,42111,
2022,US Congress,SULLIVAN,All,3002,100.00,42113,
2022,US Congress,SUSQUEHANNA,All,17126,100.00,42115,
2022,US Congress,TIOGA,All,16463,100.00,42117,
2022,US Congress,UNION,All,15991,100.00,42119,
2022,US Congress,VENANGO,All,20756,100.00,42121,
2022,US Congress,WARREN,All,15974,100.00,42123,
2022,US Congress,WASHINGTON,All,63293,100.00,42125,
2022,US Congress,WAYNE,All,22483,100.00,42127,
2022,US Congress,WESTMORELAND,All,130192,100.00,42129,
2022,US Congress,WYOMING,All,11678,100.00,42131,
2022,US Congress,YORK,All,186026,100.00,42133,
2022,US Senator,ADAMS,All,46419,100.00,42001,
2022,US Senator,ALLEGHENY,All,573709,100.00,42003,
2022,US Senator,ARMSTRONG,All,28413,100.00,42005,
2022,US Senator,BEAVER,All,73443,100.00,42007,
2022,US Senator,BEDFORD,All,22241,100.00,42009,
2022,US Senator,BERKS,All,153357,100.00,42011,
2022,US Senator,BLAIR,All,50220,100.00,42013,
2022,US Senator,BRADFORD,All,23481,100.00,42015,
2022,US Senator,BUCKS,All,314294,100.00,42017,
2022,US Senator,BUTLER,All,93335,100.00,42019,
2022,US Senator,CAMBRIA,All,56348,100.00,42021,
2022,US Senator,CAMERON,All,1886,100.00,42023,
2022,US Senator,CARBON,All,26232,100.00,42025,
2022,US Senator,CENTRE,All,62061,100.00,42027,
2022,US Senator,CHESTER,All,257963,100.00,42029,
2022,US Senator,CLARION,All,15371,100.00,42031,
2022,US Senator,CLEARFIELD,All,31399,100.00,42033,
2022,US Senator,CLINTON,All,14017,100.00,42035,
2022,US Senator,COLUMBIA,All,24745,100.00,42037,
2022,US Senator,CRAWFORD,All,33033,100.00,42039,
2022,US Senator,CUMBERLAND,All,115927,100.00,42041,
2022,US Senator,DAUPHIN,All,114446,100.00,42043,
2022,US Senator,DELAWARE,All,250667,100.00,42045,
2022,US Senator,ELK,All,13619,100.00,42047,
2022,US Senator,ERIE,All,105734,100.00,42049,
2022,US Senator,FAYETTE,All,46824,100.00,42051,
2022,US Senator,FOREST,All,2182,100.00,42053,
2022,US Senator,FRANKLIN,All,65220,100.00,42055,
2022,US Senator,FULTON,All,6246,100.00,42057,
2022,US Senator,GREENE,All,13091,100.00,42059,
2022,US Senator,HUNTINGDON,All,18264,100.00,42061,
2022,US Senator,INDIANA,All,32755,100.00,42063,
2022,US Senator,JEFFERSON,All,17786,100.00,42065,
2022,US Senator,JUNIATA,All,9728,100.00,42067,
2022,US Senator,LACKAWANNA,All,88943,100.00,42069,
2022,US Senator,LANCASTER,All,224548,100.00,42071,
2022,US Senator,LAWRENCE,All,36206,100.00,42073,
2022,US Senator,LEBANON,All,56491,100.00,42075,
2022,US Senator,LEHIGH,All,136301,100.00,42077,
2022,US Senator,LUZERNE,All,116323,100.00,42079,
2022,US Senator,LYCOMING,All,46233,100.00,42081,
2022,US Senator,McKEAN,All,14651,100.00,42083,
2022,US Senator,MERCER,All,45352,100.00,42085,
2022,US Senator,MIFFLIN,All,16785,100.00,42087,
2022,US Senator,MONROE,All,58730,100.00,42089,
2022,US Senator,MONTGOMERY,All,412954,100.00,42091,
2022,US Senator,MONTOUR,All,7833,100.00,42093,
2022,US Senator,NORTHAMPTON,All,129987,100.00,42095,
2022,US Senator,NORTHUMBERLAND,All,32895,100.00,42097,
2022,US Senator,PERRY,All,20231,100.00,42099,
2022,US Senator,PHILADELPHIA,All,499151,100.00,42101,
2022,US Senator,PIKE,All,25196,100.00,42103,
2022,US Senator,POTTER,All,7108,100.00,42105,
2022,US Senator,SCHUYLKILL,All,55413,100.00,42107,
2022,US Senator,SNYDER,All,15336,100.00,42109,
2022,US Senator,SOMERSET,All,32528,100.00,42111,
2022,US Senator,SULLIVAN,All,3016,100.00,42113,
2022,US Senator,SUSQUEHANNA,All,17311,100.00,42115,
2022,US Senator,TIOGA,All,16632,100.00,42117,
2022,US Senator,UNION,All,16094,100.00,42119,
2022,US Senator,VENANGO,All,20854,100.00,42121,
2022,US Senator,WARREN,All,16092,100.00,42123,
2022,US Senator,WASHINGTON,All,93836,100.00,42125,
2022,US Senator,WAYNE,All,22712,100.00,42127,
2022,US Senator,WESTMORELAND,All,168012,100.00,42129,
2022,US Senator,WYOMING,All,11779,100.00,42131,
2022,US Senator,YORK,All,186551,100.00,42133,
2022,Governor,ADAMS,Democratic,18821,40.51,42001,
2022,Governor,ALLEGHENY,Democratic,393386,68.68,42003,
2022,Governor,ARMSTRONG,Democratic,9523,33.46,42005,
2022,Governor,BEAVER,Democratic,36917,50.39,42007,
2022,Governor,BEDFORD,Democratic,4721,21.25,42009,
2022,Governor,BERKS,Democratic,77785,50.69,42011,
2022,Governor,BLAIR,Democratic,17716,35.20,42013,
2022,Governor,BRADFORD,Democratic,7389,31.47,42015,
2022,Governor,BUCKS,Democratic,185324,59.02,42017,
2022,Governor,BUTLER,Democratic,40065,42.87,42019,
2022,Governor,CAMBRIA,Democratic,22885,40.66,42021,
2022,Governor,CAMERON,Democratic,639,33.81,42023,
2022,Governor,CARBON,Democratic,10743,40.90,42025,
2022,Governor,CENTRE,Democratic,35653,57.49,42027,
2022,Governor,CHESTER,Democratic,160796,62.32,42029,
2022,Governor,CLARION,Democratic,5114,33.19,42031,
2022,Governor,CLEARFIELD,Democratic,10326,32.87,42033,
2022,Governor,CLINTON,Democratic,5293,37.61,42035,
2022,Governor,COLUMBIA,Democratic,10148,41.08,42037,
2022,Governor,CRAWFORD,Democratic,12609,38.41,42039,
2022,Governor,CUMBERLAND,Democratic,61319,52.86,42041,
2022,Governor,DAUPHIN,Democratic,68585,59.95,42043,
2022,Governor,DELAWARE,Democratic,170162,67.83,42045,
2022,Governor,ELK,Democratic,4843,35.41,42047,
2022,Governor,ERIE,Democratic,63081,59.74,42049,
2022,Governor,FAYETTE,Democratic,20120,42.92,42051,
2022,Governor,FOREST,Democratic,825,37.64,42053,
2022,Governor,FRANKLIN,Democratic,21612,33.07,42055,
2022,Governor,FULTON,Democratic,1128,17.94,42057,
2022,Governor,GREENE,Democratic,5142,39.14,42059,
2022,Governor,HUNTINGDON,Democratic,5597,30.34,42061,
2022,Governor,INDIANA,Democratic,13032,39.80,42063,
2022,Governor,JEFFERSON,Democratic,5038,28.27,42065,
2022,Governor,JUNIATA,Democratic,2761,28.27,42067,
2022,Governor,LACKAWANNA,Democratic,54442,61.28,42069,
2022,Governor,LANCASTER,Democratic,108233,48.26,42071,
2022,Governor,LAWRENCE,Democratic,16023,44.15,42073,
2022,Governor,LEBANON,Democratic,23646,41.88,42075,
2022,Governor,LEHIGH,Democratic,79991,58.67,42077,
2022,Governor,LUZERNE,Democratic,57598,49.63,42079,
2022,Governor,LYCOMING,Democratic,15643,33.80,42081,
2022,Governor,McKEAN,Democratic,4392,29.85,42083,
2022,Governor,MERCER,Democratic,18282,40.33,42085,
2022,Governor,MIFFLIN,Democratic,5119,30.39,42087,
2022,Governor,MONROE,Democratic,32009,54.41,42089,
2022,Governor,MONTGOMERY,Democratic,285712,69.18,42091,
2022,Governor,MONTOUR,Democratic,3640,46.33,42093,
2022,Governor,NORTHAMPTON,Democratic,72269,55.63,42095,
2022,Governor,NORTHUMBERLAND,Democratic,12052,36.58,42097,
2022,Governor,PERRY,Democratic,6912,34.15,42099,
2022,Governor,PHILADELPHIA,Democratic,426885,85.68,42101,
2022,Governor,PIKE,Democratic,10339,41.14,42103,
2022,Governor,POTTER,Democratic,1513,21.29,42105,
2022,Governor,SCHUYLKILL,Democratic,21203,38.25,42107,
2022,Governor,SNYDER,Democratic,4867,31.69,42109,
2022,Governor,SOMERSET,Democratic,9473,29.08,42111,
2022,Governor,SULLIVAN,Democratic,1024,33.87,42113,
2022,Governor,SUSQUEHANNA,Democratic,5768,33.31,42115,
2022,Governor,TIOGA,Democratic,4494,26.98,42117,
2022,Governor,UNION,Democratic,6898,42.81,42119,
2022,Governor,VENANGO,Democratic,7777,37.18,42121,
2022,Governor,WARREN,Democratic,6032,37.55,42123,
2022,Governor,WASHINGTON,Democratic,45030,48.10,42125,
2022,Governor,WAYNE,Democratic,8466,37.22,42127,
2022,Governor,WESTMORELAND,Democratic,77155,45.93,42129,
2022,Governor,WYOMING,Democratic,4519,38.37,42131,
2022,Governor,YORK,Democratic,83649,44.86,42133,
2022,State House Representative,ADAMS,Democratic,10025,23.11,42001,
2022,State House Representative,ALLEGHENY,Democratic,357039,66.55,42003,
2022,State House Representative,ARMSTRONG,Democratic,4338,16.02,42005,
2022,State House Representative,BEAVER,Democratic,24506,35.36,42007,
2022,State House Representative,BEDFORD,Democratic,,0.00,42009,
2022,State House Representative,BERKS,Democratic,36768,28.15,42011,
2022,State House Representative,BLAIR,Democratic,5141,11.35,42013,
2022,State House Representative,BRADFORD,Democratic,,0.00,42015,
2022,State House Representative,BUCKS,Democratic,164992,53.93,42017,
2022,State House Representative,BUTLER,Democratic,12734,15.69,42019,
2022,State House Representative,CAMBRIA,Democratic,14129,27.47,42021,
2022,State House Representative,CAMERON,Democratic,,0.00,42023,
2022,State House Representative,CARBON,Democratic,7203,27.88,42025,
2022,State House Representative,CENTRE,Democratic,32740,53.41,42027,
2022,State House Representative,CHESTER,Democratic,143849,56.01,42029,
2022,State House Representative,CLARION,Democratic,,0.00,42031,
2022,State House Representative,CLEARFIELD,Democratic,3052,10.55,42033,
2022,State House Representative,CLINTON,Democratic,4505,32.18,42035,
2022,State House Representative,COLUMBIA,Democratic,7110,28.85,42037,
2022,State House Representative,CRAWFORD,Democratic,6877,22.05,42039,
2022,State House Representative,CUMBERLAND,Democratic,46517,41.06,42041,
2022,State House Representative,DAUPHIN,Democratic,35316,36.60,42043,
2022,State House Representative,DELAWARE,Democratic,156717,63.69,42045,
2022,State House Representative,ELK,Democratic,3390,24.87,42047,
2022,State House Representative,ERIE,Democratic,60958,59.00,42049,
2022,State House Representative,FAYETTE,Democratic,8269,20.87,42051,
2022,State House Representative,FOREST,Democratic,,0.00,42053,
2022,State House Representative,FRANKLIN,Democratic,2213,4.00,42055,
2022,State House Representative,FULTON,Democratic,,0.00,42057,
2022,State House Representative,GREENE,Democratic,4647,35.67,42059,
2022,State House Representative,HUNTINGDON,Democratic,4772,25.97,42061,
2022,State House Representative,INDIANA,Democratic,7604,23.97,42063,
2022,State House Representative,JEFFERSON,Democratic,,0.00,42065,
2022,State House Representative,JUNIATA,Democratic,,0.00,42067,
2022,State House Representative,LACKAWANNA,Democratic,53295,60.33,42069,
2022,State House Representative,LANCASTER,Democratic,41042,20.82,42071,
2022,State House Representative,LAWRENCE,Democratic,12219,35.91,42073,
2022,State House Representative,LEBANON,Democratic,18887,33.66,42075,
2022,State House Representative,LEHIGH,Democratic,58069,48.88,42077,
2022,State House Representative,LUZERNE,Democratic,38782,35.63,42079,
2022,State House Representative,LYCOMING,Democratic,,0.00,42081,
2022,State House Representative,McKEAN,Democratic,,0.00,42083,
2022,State House Representative,MERCER,Democratic,12818,30.41,42085,
2022,State House Representative,MIFFLIN,Democratic,2265,14.22,42087,
2022,State House Representative,MONROE,Democratic,28843,49.34,42089,
2022,State House Representative,MONTGOMERY,Democratic,257892,63.08,42091,
2022,State House Representative,MONTOUR,Democratic,,0.00,42093,
2022,State House Representative,NORTHAMPTON,Democratic,60531,54.34,42095,
2022,State House Representative,NORTHUMBERLAND,Democratic,4260,13.88,42097,
2022,State House Representative,PERRY,Democratic,,0.00,42099,
2022,State House Representative,PHILADELPHIA,Democratic,397161,90.89,42101,
2022,State House Representative,PIKE,Democratic,9514,39.99,42103,
2022,State House Representative,POTTER,Democratic,,0.00,42105,
2022,State House Representative,SCHUYLKILL,Democratic,15391,27.85,42107,
2022,State House Representative,SNYDER,Democratic,,0.00,42109,
2022,State House Representative,SOMERSET,Democratic,,0.00,42111,
2022,State House Representative,SULLIVAN,Democratic,,0.00,42113,
2022,State House Representative,SUSQUEHANNA,Democratic,,0.00,42115,
2022,State House Representative,TIOGA,Democratic,,0.00,42117,
2022,State House Representative,UNION,Democratic,3122,22.81,42119,
2022,State House Representative,VENANGO,Democratic,,0.00,42121,
2022,State House Representative,WARREN,Democratic,,0.00,42123,
2022,State House Representative,WASHINGTON,Democratic,11363,15.39,42125,
2022,State House Representative,WAYNE,Democratic,3350,17.88,42127,
2022,State House Representative,WESTMORELAND,Democratic,26043,19.10,42129,
2022,State House Representative,WYOMING,Democratic,,0.00,42131,
2022,State House Representative,YORK,Democratic,38634,23.76,42133,
2022,State Senator,ALLEGHENY,Democratic,156759,73.63,42003,
2022,State Senator,BEAVER,Democratic,,0.00,42007,
2022,State Senator,BEDFORD,Democratic,3410,15.68,42009,
2022,State Senator,BERKS,Democratic,23001,100.00,42011,
2022,State Senator,BLAIR,Democratic,13222,26.36,42013,
2022,State Senator,BUCKS,Democratic,158369,50.72,42017,
2022,State Senator,CHESTER,Democratic,54027,55.40,42029,
2022,State Senator,CRAWFORD,Democratic,8026,24.84,42039,
2022,State Senator,CUMBERLAND,Democratic,35264,41.02,42041,
2022,State Senator,DAUPHIN,Democratic,2539,22.92,42043,
2022,State Senator,DELAWARE,Democratic,82725,62.52,42045,
2022,State Senator,FAYETTE,Democratic,15208,32.79,42051,
2022,State Senator,FULTON,Democratic,874,14.04,42057,
2022,State Senator,GREENE,Democratic,,0.00,42059,
2022,State Senator,HUNTINGDON,Democratic,4361,23.79,42061,
2022,State Senator,JUNIATA,Democratic,1902,19.85,42067,
2022,State Senator,LACKAWANNA,Democratic,51225,58.29,42069,
2022,State Senator,LANCASTER,Democratic,3948,3.68,42071,
2022,State Senator,LAWRENCE,Democratic,9597,33.07,42073,
2022,State Senator,LEBANON,Democratic,17816,31.79,42075,
2022,State Senator,LEHIGH,Democratic,72274,53.40,42077,
2022,State Senator,LUZERNE,Democratic,32822,42.77,42079,
2022,State Senator,MERCER,Democratic,12899,28.54,42085,
2022,State Senator,MIFFLIN,Democratic,3690,22.20,42087,
2022,State Senator,MONROE,Democratic,26717,45.65,42089,
2022,State Senator,MONTGOMERY,Democratic,189325,59.95,42091,
2022,State Senator,NORTHAMPTON,Democratic,70053,54.32,42095,
2022,State Senator,PERRY,Democratic,4795,24.23,42099,
2022,State Senator,PHILADELPHIA,Democratic,144838,94.98,42101,
2022,State Senator,PIKE,Democratic,9040,36.07,42103,
2022,State Senator,SOMERSET,Democratic,6232,19.21,42111,
2022,State Senator,SUSQUEHANNA,Democratic,4859,28.13,42115,
2022,State Senator,WASHINGTON,Democratic,,0.00,42125,
2022,State Senator,WAYNE,Democratic,6426,28.45,42127,
2022,State Senator,WESTMORELAND,Democratic,627,35.58,42129,
2022,State Senator,WYOMING,Democratic,3014,25.65,42131,
2022,State Senator,YORK,Democratic,37316,33.10,42133,
2022,US Congress,ADAMS,Democratic,,0.00,42001,
2022,US Congress,ALLEGHENY,Democratic,329767,58.59,42003,
2022,US Congress,ARMSTRONG,Democratic,7140,25.32,42005,
2022,US Congress,BEAVER,Democratic,30575,41.80,42007,
2022,US Congress,BEDFORD,Democratic,,0.00,42009,
2022,US Congress,BERKS,Democratic,69270,47.04,42011,
